Date|Active Users|Favorites|Total Visits|Date Created|Last Updated|Server Size|Genre|Title|Creator|gameID|Category|URL|Description
2022-02-22 09:28:54|57707|11339396|5.6B+|11/4/2014|2/22/2022|12|Town and City|WelcometoBloxburgBy@Coeptus|@Coeptus|185655149|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=185655149&Position=11&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.906Z|Build and design your own amazing house own cool vehicles hang out with friends work roleplay or explore the city of Bloxburg. The possibilities are endless! Version: 0.10.4 Update Log: https://devforum.roblox.com/t/--/361910
2022-02-22 09:28:54|57849|9565452|16.7B+|6/18/2018|1/29/2022|20|Adventure|TowerofHellByYXCeptionalStudios|YXCeptional Studios|1962086868|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=1962086868&Position=23&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.908Z|Can you be the first to the top in this randomly generated obby with absolutely no checkpoints at all? Owners of VIP-Servers can use the settings menu to skip rounds set the tower size and lock the shop. For support go to support.yx.zone
2022-02-22 09:28:55|22756|17168211|5.6B+|1/6/2017|2/21/2022|30|Town and City|JailbreakByBadimo|Badimo|606849621|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=606849621&Position=19&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.908Z|🏁 The OFFICIAL McLaren F1 Event has begun! Drive the new MCL36 for FREE for a limited time or buy the car to keep it FOREVER! February already! Our newest update is here! 🚀 - Season 8 has begun! With FUTURISTIC prizes including... 🤖 - The CELSIOR! Hover around in style. Free at Level 10! 🔥 - New GARAGE! With Favorites Sorting Grid view and much more! 💰 - New Vehicle: The Badger! Find it at the Museum for 45k Cash! ☀️ - New Spring Map! Enjoy more colors than ever. 🏆 Jailbreak is an award-winning game played over five billion times where you can orchestrate a robbery or stop the criminals before they get away! Team up with friends for even more fun and plan the ultimate raid or heist. What role will you play? 🖥 Programmed by Badcc. @badccvoid 🎨 Designed by asimo3089. @asimo3089
2022-02-22 09:28:55|395448|12322440|16.0B+|4/21/2020|2/11/2022|18|Town and City|Brookhaven🏡RPBy@Wolfpaq|@Wolfpaq|4924922222|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=4924922222&Position=2&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.903Z|A place to hang out with like minded people and roleplay. Own and live in amazing houses drive cool vehicles and explore the city. Be whoever you want to be in Brookhaven RP. Thanks for playing! Wanted to thank Roblox staff for fixing the publishing issue. Private Server Controls: To open private server controls you must be owner of a server and click the grey button on top left of screen.
2022-02-22 09:28:56|55496|2101989|2.6B+|5/27/2021|2/22/2022|40|All Genres|BedWars🧙‍♂️[NEWENCHANTS!]ByEasy.gg|Easy.gg|6872265039|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=6872265039&Position=9&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.906Z|🔥🔥🔥 UPDATE TIME: Friday 3:00pm PST 🔥🔥🔥 Controls: [Shift]: Sprint [E]: Open Inventory [Q]: Drop item [Ctrl]: Lock camera [T]: Use Emote How to play BedWars: 📡 Join the BedWars queue in the Lobby to find a game 🛌 Protect your base. Once its gone you can no longer respawn! 💎 Gather resources to purchase items and team upgrades 🏹 Destroy enemy beds and eliminate players to win the game! ✨ Play custom modes like SkyWars and Lucky Block! 💖 Easy Games
2022-02-22 09:28:56|112028|2951470|4.1B+|1/16/2019|2/8/2022|12|Adventure|[☀️☁️UPDATE17]BloxFruitsByGamerRobotyoutube.com/GamerRobot|Gamer Robot  youtube.com/GamerRobot|2753915549|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=2753915549&Position=3&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.903Z|☀️☁️ UPDATE 17 Part 1 / UPDATE OUT NOW New Fruit New awakening new island new weapon and MORE! Part 2 soon! Welcome to Blox Fruits! Become a master swordsman or a powerful blox fruit user as you train to become the strongest player to ever live. You can choose to fight against tough enemies or have powerful boss battles while sailing across the ocean to find hidden secrets. Current level cap: 2200 Current fruits in the game: Bomb Spike Chop Spring Kilo Smoke Spin Flame Falcon Ice Sand Dark Revive Diamond Light Love Magma Door Rubber Quake Human Buddha Barrier String Bird Phoenix Rumble Paw Gravity Dough Shadow Venom Control Dragon and SOUL FRUIT FAQ: - Fruits spawn in the map every hour / despawn after 20. - You can buy fruits from the Blox Fruits Dealer. He restocks random fruits every 4 hours - More info in the group description Do not exploit or auto farm our auto-detection will catch you and we do not appeal our bans.
2022-02-22 09:28:57|15086|3349647|1.1B+|2/26/2021|2/21/2022|18|All Genres|{BLOXXIN/4v4}FunkyFridayByLyteInteractive|Lyte Interactive|6447798030|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=6447798030&Position=28&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.909Z|beat box battle Keybinds are now located in the Arrow Customization UI! SHUTDOWN = UPDATE 🎮 Console - D-PAD or XYBA ebur1n - V3 Map Designer Certain assets were used in accordance to ninjamuffin and FNFs license: https://devforum.roblox.com/t/ff-credits-and-information (Additional respective mod author credits can be found in-game)
2022-02-22 09:28:57|44377|395273|123.7M+|11/4/2021|2/22/2022|30|Adventure|FindtheMarkers(150)Bymarkersepicmemers|markers epic memers|7896264844|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=7896264844&Position=26&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.909Z|this game was highly inspired by a lot of find the games specifically find the domos. PLAY FIND THE CORNBREADS! https://www.roblox.com/games/8004336756/CROSSOVER-21-find-the-cornbreads game icon by dashertheclasher. (disclaimer: marker originates from the web series known as battle for dream island. the creator of this game came up with the character and also has permission from the shows creators to use the character in the game.)
2022-02-22 09:28:58|36943|14171476|13.0B+|2/23/2016|2/16/2022|200|Town and City|❄️MeepCity❄️By@alexnewtron|@alexnewtron|370731277|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=370731277&Position=29&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.909Z|💙💙 The game that is Powering Imagination! Chat play games earn coins and customize your very own estate! Play with millions of players who play MeepCity! 💙💙 ✨ Were working on more updates! 🔔Click the Follow button for update notifications! And join our Roblox group/community!
2022-02-22 09:28:58|63742|2512518|1.5B+|4/28/2021|2/22/2022|25|Town and City|Livetopia🏡Newhouse!ByCenturyMakers|Century Makers|6737970321|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=6737970321&Position=22&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.908Z|══ UPDATE 42 ══ (2/22) New house unlocked! (2/21) Fixed a performance issue introduced in Fridays update. 🐳 Wanna explore the deep ocean? Join the journey of The Nautilus the brand new submarine traveling between Topia City Dolphin Bay and Mt. Crescent! 🐧 Underwater Pass for access to restrictive areas in the submarine exclusive personal AUV and more. 😃 UI optimizations with emoji and expression shortcuts added to the main screen - so you can express yourself more easily! 🦾 More Livetopia secrets... ══ ITS YOUR W🌎RLD ══ 🎭 RP! Choose your own roles outfits and jobs to roleplay! 🏡 Own houses and vehicles in the city! Boating and flying! 🐱 Play with other people and unique pets! 🧐 Find secrets in the place! 📝 Changelog: https://devforum.roblox.com/t/livetopia-patch-notes ══ L❤️VETOPIA ══ Please thumbs-up 👍 and favorite ⭐ if you enjoy the game. 👍 700k likes to unlock Mummy outfit!
