Date|Active Users|Favorites|Total Visits|Date Created|Last Updated|Server Size|Genre|Title|Creator|gameID|Category|URL|Description
2022-02-22 13:02:25|23666|174282|23.3M+|10/3/2020|2/17/2022|7|All Genres|CheeseEscape[Horror]By@Spirow734|@Spirow734|5777099015|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=9bf2199b-b91e-4a8b-b437-b071cbbeda6d&PageType=Games&PlaceId=5777099015&Position=28&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-02-22T19:02:24.317Z|Another pointless game in which you have to survive from a harmless rat. I advise you to play with the sounds so that you dont miss anything. Create a free VIP server and play alone or with friends for the best experience. Leave a like if you enjoy this game! Good luck!
2022-02-22 13:02:26|1876|476663|46.2M+|5/13/2021|2/22/2022|60|FPS|[NEWGUN]AimbloxBETAByAimLabOfficial|Aim Lab Official|6808416928|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=9bf2199b-b91e-4a8b-b437-b071cbbeda6d&PageType=Games&PlaceId=6808416928&Position=5&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-02-22T19:02:24.310Z|Improve your aim or fight other players using over 40 weapons (assault rifles snipers pistols explosives)! ⭐Codes⭐ LIKES150K LIKES140K Imposter + many more hidden codes! ⚙️ Enter Codes in Settings Menu! 🎈RECENT UPDATES🎈 - New guns: Clock-18 and SRS! - New map: Osake - Shoot Out collab! Check it out in the Lobby for more info! - AND MORE! NEW UPDATES EVERY FRIDAY 👊 3 main Aimblox zones: - Competitive: Fight other players - Aim Trainer: Improve aim and accuracy - Stages: Complete shooting missions / dungeon runs Earn money and keys to unlock new characters powers and gun attachments. 🔨 Made by the creators of Aim Lab on Steam & Wild Revolvers! Currently in early BETA (40.9% ready)! New updates every Friday! Relevant keywords: Aim Lab Aim Guns FPS Shooter Gun PVP Training
2022-02-22 13:02:26|7305|483259|184.8M+|11/10/2020|2/17/2022|10|All Genres|Crewmates!🚀(AmongUs)ByLionlyStudios|Lionly Studios|5939428933|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=9bf2199b-b91e-4a8b-b437-b071cbbeda6d&PageType=Games&PlaceId=5939428933&Position=24&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-02-22T19:02:24.316Z|Follow us 🐦 @LionlyStudios to get Exclusive Codes! ⭐ • NEW LIMITED TIME CODE CLAIM IT BEFORE ITS EXPIRED🦑 SQUIDGAME • NEW GAME (CODE) https://www.roblox.com/games/8587816379/DonateMe CODES: 100K 999IQ PUMPKINHEAD MINICREWMATE IMPOSTORPACK Get PETS for FREE by Joining our GROUP or SUPPORT US by purchasing the EXCLUSIVE PETS collection! 🐾 https://www.roblox.com/groups/8296978/Group Press the LIKE button if you enjoy! 👍 Gameplay 🎮: • Crewmate: Find out who the Impostor is or complete your tasks before its too late! 😨 • Impostor: Kill the Crewmates use Vents and Sabotage. Dont let anyone know youre the Impostor! 😈 Controls 💻: • G: Invite Friends 👥 • Tab / M: Open / Close Map 🗺️ • R: Report Body 📢 • Space: Use / Emergency 🚨 ~ Vent / Sabotage 💨 (Impostor) • Q: Kill (Impostor) 🔪 • A / D: Switch Vent (Impostor) 🐱‍👤 🔔 Join the Group to contact report or talk with us and about the new updates!
2022-02-22 13:02:27|2466|78327|11.9M+|10/12/2021|2/22/2022|1|Comedy|ForgetYourFriendsBirthday![🎩Customization]By@JayPlays_JP|@JayPlays_JP|7720354124|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=9bf2199b-b91e-4a8b-b437-b071cbbeda6d&PageType=Games&PlaceId=7720354124&Position=12&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-02-22T19:02:24.313Z|Saturday March 14th Your friend invited you to their birthday party. You are about to arrive at their house. ... Get all endings to complete the game. ...and dont you even dare to skip the intro cutscene. Do you know how much effort I put into this? Make sure to report bugs if you find any 🛠️ Dont forget to like 👍 and favorite ⭐ the game! Builder: @MrBlobBobz Creator / Lead developer: @JayPlays_JP Trailer: @estoniaepicgamer Join my group so i have more members than mr blob bob: https://www.roblox.com/groups/6552523 Dont join this group: https://www.roblox.com/groups/11121522
2022-02-22 13:02:27|3751|67520|4.5M+|9/14/2021|2/22/2022|4|Fighting|[UPD3]UltimateArmyTycoon!ByZoodStudios|Zood Studios|7477552662|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=9bf2199b-b91e-4a8b-b437-b071cbbeda6d&PageType=Games&PlaceId=7477552662&Position=15&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-02-22T19:02:24.314Z|👍 LIKE 👍 the game and use the code RELEASE for free coins NEW UPDATE: 🌊New Element Island 🔥 🌪️ New Capsules 🗿 📖 New Collection Index 📖 ⛩️ Collect coins and build up your tycoon! 📦 Open up legendary fighters from capsules inside your base! ⚔️ Build up HUGE 100 troop armies and capture points! 🏴‍☠️ Morph into your most OP TROOPS! 🗺️ Unlock and explore new floating islands within your tycoon! ⚠️ The game is in early stages of development were currently grinding out bugs let us know if you find any under group wall ⚠️ 💡 Join the Zood Studio group to spin group wheel for a FREE troop! ⏬ https://www.roblox.com/groups/5606884/Zood-Studios 🔔 Follow for game updates! 🔔
2022-02-22 13:02:28|9656|61711|13.8M+|12/27/2021|2/18/2022|22|Town and City|RedcliffCity🏖️RPVILLA!🏡ByRedcliffCityRP|Redcliff City RP|8369888266|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=9bf2199b-b91e-4a8b-b437-b071cbbeda6d&PageType=Games&PlaceId=8369888266&Position=20&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-02-22T19:02:24.315Z|Roblotopia RP is now Redcliff City RP! Welcome to Redcliff City a place where you can socialize meet new friends be whoever you want and most importantly do whatever you want! 🏡 Own and live in lavish houses! 🏎️ Cruise around the town in fancy cars! 👗 Decorate your avatar from an ever-growing selection of accessories! ⚽ Choose from an abundance of tools to suit your roleplay needs! 🙋‍♂️ Socialize with other players and make new friends! Enjoying Redcliff City RP? Support us with a thumbs up 👍 favorite ⭐ and join our community server 🏘️ to meet the community and for news on upcoming updates! Help us improve the gameplay experience by reporting any bugs via the group wall or the community server! Press N and M to increase/decrease car speed
2022-02-22 13:02:28|9755|54064|15.5M+|12/23/2021|2/22/2022|6|All Genres|MegaMansionTycoon[CITY!]ByWildAtelier|Wild Atelier|8328351891|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=9bf2199b-b91e-4a8b-b437-b071cbbeda6d&PageType=Games&PlaceId=8328351891&Position=1&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-02-22T19:02:24.309Z|🌇CITY UPDATE!! Explore our brand-new city and map! 1 new car added! FREE private servers! 👍 30K Likes = new update👍 🌴 Build THE biggest mansion on ROBLOX! Drive luxury cars roleplay with friends visit other players houses and so much more to come! Join the group for a special chat tag! 💾All progress is autosaved so you can resume back at any time!💾 👍 ⭐ Support the game by giving us a LIKE and a FAVORITE! Creative Attributions: https://devforum.roblox.com/t/mega-mansion-tycoon/
2022-02-22 13:02:29|1991|54079|4.5M+|10/31/2021|2/21/2022|25|All Genres|[💗]LifeSentenceByHardTimeStudios|Hard Time Studios|7860844204|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=9bf2199b-b91e-4a8b-b437-b071cbbeda6d&PageType=Games&PlaceId=7860844204&Position=2&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-02-22T19:02:24.309Z|💗New Update At 18k Likes💗 ❗(GAME IS IN BETA GLITCHES MAY OCCUR!)❗ Welcome To Life Sentence! Be a inmate and attempt to survive in a prison where every sentence is a death sentence. Rub shoulders with up to 25 fellow inmates in a sprawling jail with unique areas each filled with fully interactive furniture and props. 📣 (Exiting the game In Combat will cause you to lose your bounty if you see a Red Gun in the bottom left you are In Combat.) -[CONTROLS]- Drop Item [Q/DPad Left] Stomp [E/DPad Down] Drag [G/DPad Up] Reload [R/Button X] Run [LeftShift/LeftThumbStick] JOIN THE GROUP! https://www.roblox.com/groups/6084540/Hard-Time-Studios#!/about Make Sure To Leave A Like 👍
2022-02-22 13:02:29|2478|418491|569.2M+|11/1/2020|2/14/2022|30|Adventure|UltimateTowerDefenseByStrawberryPeels|Strawberry Peels|5902977746|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=9bf2199b-b91e-4a8b-b437-b071cbbeda6d&PageType=Games&PlaceId=5902977746&Position=16&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-02-22T19:02:24.315Z|Happy Valentines Day! Use code Valentines2022 for 200 Gems! Thank you for 1000000 Group Members! Use code MillionMembers for 500 Gems! Use code 300KLikes for 5000 Gold! 📢New Code at 310k Likes The update Ive been working on has been continually expanding in size and is now looking more like a remaster. What I have planned: *Trading! *Referral system *Balancing overhaul *MUCH faster loading times *Major performance improvements
2022-02-22 13:02:30|818|54415|4.0M+|10/26/2021|2/15/2022|20|All Genres|[🔥UPDATE1]AnimeClashSimulatorByAnimeCIash|Anime CIash|7842028704|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=9bf2199b-b91e-4a8b-b437-b071cbbeda6d&PageType=Games&PlaceId=7842028704&Position=25&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-02-22T19:02:24.317Z|👍NEXT CODE AT 25K LIKES! 💥 Use code 20KWOW UPDATE1 CRAZY10KLIKES RELEASE LETSGO7500LIKES and OUAH15KLIKES for Crystals! Anime Clash is a training game inspired by multiple popular Anime shows with tons of worlds to explore and hundreds of unique pets! ⚔️ Slash your swords to train chakra! 💰 Sell chakra to earn millions of yen! 🛍️ Buy new swords scrolls ranks with yen to progress faster! 😈 Defeat bosses to earn thousands of crystals! ✨ UPGRADE your pets with different machines! 🔥 Collect HUNDREDS of unique pets! 🎁 Latest Update [UPDATE 1] - 👿 Demon Island! - 🌊 39 New Pets! - ❄️ Azaka Boss! - 🌟 10 New Achievements! - 🔥 6 New Powers! - 🧭 5 New Quests! - 💪 New Training Area! - 🗡️ 24 New Swords! + MUCH MORE! 🎁 Follow us for codes & updates! Anime Clash: @AnimeClashRBX Creative Director/Builder: @SerialPartrbx Head Developer/Programmer: @Robxsoft 🔔 New updates every week! Make sure to FOLLOW to be notified!
